"","temperature","hexvis"
"1","1500","#4A1700"
"2","1600","#561F00"
"3","1700","#622700"
"4","1800","#6D3000"
"5","1900","#793901"
"6","2000","#844208"
"7","2100","#8E4B11"
"8","2200","#995419"
"9","2300","#A35D21"
"10","2400","#AD672A"
"11","2500","#B67033"
"12","2600","#BF793B"
"13","2700","#C88244"
"14","2800","#D08B4D"
"15","2900","#D99456"
"16","3000","#E09C60"
"17","3100","#E8A569"
"18","3200","#EFAD72"
"19","3300","#F6B57B"
"20","3400","#FCBD84"
"21","3500","#FFC48C"
"22","3600","#FFCA95"
"23","3700","#FFD09C"
"24","3800","#FFD6A4"
"25","3900","#FFDBAB"
"26","4000","#FFDFB2"
"27","4100","#FFE3B8"
"28","4200","#FFE7BE"
"29","4300","#FFEAC3"
"30","4400","#FFEDC9"
"31","4500","#FFF0CD"
"32","4600","#FFF2D2"
"33","4700","#FFF4D6"
"34","4800","#FFF5DA"
"35","4900","#FFF7DE"
"36","5000","#FFF8E1"
"37","5100","#FFF8E4"
"38","5200","#FFF9E7"
"39","5300","#FFF9E9"
"40","5400","#FFF9EB"
"41","5500","#FFF9ED"
"42","5600","#FFF9EF"
"43","5700","#FFF9F0"
"44","5800","#FFF8F2"
"45","5900","#FFF8F3"
"46","6000","#FFF7F4"
"47","6100","#FFF6F4"
"48","6200","#FDF5F5"
"49","6300","#FAF4F5"
"50","6400","#F8F3F6"
"51","6500","#F5F2F6"
"52","6600","#F3F0F6"
"53","6700","#F0EFF6"
"54","6800","#EEEDF5"
"55","6900","#EBECF5"
"56","7000","#E8EAF5"
"57","7100","#E6E9F4"
"58","7200","#E3E7F4"
"59","7300","#E1E5F3"
"60","7400","#DEE4F2"
"61","7500","#DCE2F1"
"62","7600","#D9E0F0"
"63","7700","#D7DEF0"
"64","7800","#D4DDEF"
"65","7900","#D2DBED"
"66","8000","#CFD9EC"
"67","8100","#CDD7EB"
"68","8200","#CAD5EA"
"69","8300","#C8D4E9"
"70","8400","#C6D2E8"
"71","8500","#C3D0E6"
"72","8600","#C1CEE5"
"73","8700","#BFCCE4"
"74","8800","#BCCAE2"
"75","8900","#BAC9E1"
"76","9000","#B8C7DF"
"77","9100","#B6C5DE"
"78","9200","#B4C3DD"
"79","9300","#B2C1DB"
"80","9400","#AFC0DA"
"81","9500","#ADBED8"
"82","9600","#ABBCD7"
"83","9700","#A9BAD5"
"84","9800","#A7B8D4"
"85","9900","#A5B7D2"
"86","10000","#A3B5D1"
